0.5;300;197.861012140115;298;-4;
0.55;300;197.819003227982;279;47;
0.6;300;196.881147979696;288;83;
0.65;300;198.488161173784;299;110;
0.7;300;196.829495519078;285;131;
0.75;300;196.09486096003;286;148;
0.8;300;196.803716161953;277;162;
0.85;300;200.621161813811;175;173;
0.9;300;203.108498386361;216;183;
0.95;300;208.014230255004;194;191;
0.5;300;35.6030730306991;299;-4;
0.55;300;35.6287374702524;290;47;
0.6;300;35.4978613016237;297;83;
0.65;300;35.4838818263488;300;110;
0.7;300;35.5062165693034;290;131;
0.75;300;35.5105264301201;291;148;
0.8;300;35.4255960428134;289;162;
0.85;300;35.5423114312574;295;173;
0.9;300;35.4065417228596;297;183;
0.95;300;35.4191212789419;298;191;
